2019-04-30 11:33:03,986 | INFO  | rule.Loggertest                | main                     | 53  | LOGGING : GameTile
2019-04-30 11:33:04,484 | INFO  | rule.Loggertest                | main                     | 59  | End of getTile() method
2019-04-30 11:33:04,484 | INFO  | game.GameTile                  | getGameID                | 66  | Enter to getGameID() method
2019-04-30 11:33:04,484 | INFO  | rule.Loggertest                | main                     | 63  | End of getGameID() method
2019-04-30 11:33:04,484 | INFO  | game.GameTile                  | getUUID                  | 72  | Enter to getUUID() method
2019-04-30 11:33:04,484 | INFO  | rule.Loggertest                | main                     | 67  | End of getUUID() method
2019-04-30 11:33:04,484 | INFO  | game.GameTile                  | clone                    | 94  | Start of method
2019-04-30 11:33:04,484 | INFO  | game.GameTile                  | clone                    | 95  | End of method
2019-04-30 11:33:04,484 | INFO  | game.GameTile                  | setTile                  | 105 | Enter to setTile(AbstractTile newTile) method
2019-04-30 11:33:04,484 | INFO  | game.GameTile                  | toString                 | 114 | Enter to toString() method
2019-04-30 11:33:04,484 | INFO  | rule.CommonTile                | toNormalizedName         | 89  | Enter to toNormalizedName() method
2019-04-30 11:33:04,484 | INFO  | rule.CommonTile                | getFamily                | 64  | Enter to getFamily() method
2019-04-30 11:33:04,484 | INFO  | rule.CommonTile                | getNumber                | 73  | Enter to getNumber() method
2019-04-30 11:33:04,499 | INFO  | rule.Loggertest                | main                     | 79  | End of toString() method
2019-04-30 11:33:04,499 | INFO  | game.GameTile                  | getPropertyChangeSupport | 122 | Enter to setOrientation(Wind wind) method
2019-04-30 11:33:04,499 | INFO  | rule.Loggertest                | main                     | 83  | End of getPropertyChangeSupport() method
2019-04-30 11:33:04,499 | INFO  | rule.Loggertest                | main                     | 87  | LOGGING : MahjongTileZone
2019-04-30 11:33:04,516 | INFO  | game.MahjongTileZone           | addTile                  | 51  | BEGIN
2019-04-30 11:33:04,516 | INFO  | rule.CommonTile                | toNormalizedName         | 89  | Enter to toNormalizedName() method
2019-04-30 11:33:04,516 | INFO  | rule.CommonTile                | getFamily                | 64  | Enter to getFamily() method
2019-04-30 11:33:04,516 | INFO  | rule.CommonTile                | getNumber                | 73  | Enter to getNumber() method
2019-04-30 11:33:04,516 | DEBUG | game.MahjongTileZone           | addTile                  | 52  | tile to add : b9
2019-04-30 11:33:04,516 | INFO  | game.MahjongTileZone           | addTile                  | 55  | END
2019-04-30 11:33:04,516 | INFO  | game.MahjongTileZone           | removeTile               | 65  | BEGIN : removeTile(GameTile tile)
2019-04-30 11:33:04,516 | INFO  | game.MahjongTileZone           | removeTile               | 68  | END : removeTile(GameTile tile)
2019-04-30 11:33:04,516 | INFO  | game.MahjongTileZone           | getUUID                  | 73  | Enter to getUUID() method
2019-04-30 11:33:04,516 | INFO  | rule.Loggertest                | main                     | 99  | End of getUUID() method
2019-04-30 11:33:04,516 | INFO  | game.MahjongTileZone           | getPropertyChangeSupport | 81  | Enter to getPropertyChangeSupport() method
2019-04-30 11:33:04,516 | INFO  | rule.Loggertest                | main                     | 103 | End of getPropertyChangeSupport() method
2019-04-30 11:33:04,516 | INFO  | game.MahjongTileZone           | getTiles                 | 96  | Enter to getTiles() method
2019-04-30 11:33:04,516 | INFO  | rule.Loggertest                | main                     | 107 | End of getTiles() method
2019-04-30 11:33:04,516 | INFO  | game.MahjongTileZone           | getIdentifier            | 102 | Enter to getIdentifier() method
2019-04-30 11:33:04,516 | INFO  | rule.Loggertest                | main                     | 111 | End of getIdentifier() method
2019-04-30 11:33:04,516 | INFO  | game.GameTile                  | clone                    | 94  | Start of method
2019-04-30 11:33:04,516 | INFO  | game.GameTile                  | clone                    | 95  | End of method
2019-04-30 11:33:04,516 | INFO  | rule.Loggertest                | main                     | 125 | LOGGING : TileZoneIdentifier
2019-04-30 11:33:04,516 | INFO  | game.TileZoneIdentifier        | getNormalizedNameFromIdentifier | 47  | Enter to getNormalizedNameFromIdentifier(TileZoneIdentifier identifier)
2019-04-30 11:33:04,516 | INFO  | game.TileZoneIdentifier        | getNormalizedName        | 43  | Enter to getNormalizedName()
2019-04-30 11:33:04,516 | INFO  | rule.Loggertest                | main                     | 130 | End of getNormalizedNameFromIdentifier(TileZoneIdentifier identifier)
2019-04-30 11:33:04,516 | INFO  | rule.Loggertest                | main                     | 235 | LOGGING : StartingWall
2019-04-30 11:33:04,516 | INFO  | rule.StartingWall              | getCut                   | 64  | Enter to getCut()
2019-04-30 11:33:04,516 | INFO  | rule.Loggertest                | main                     | 241 | End of getCut()
2019-04-30 11:33:04,516 | INFO  | rule.StartingWall              | getStartingHeap          | 56  | Enter to getStartingHeap()
2019-04-30 11:33:04,516 | INFO  | rule.Loggertest                | main                     | 244 | End of getStartingHeap()
2019-04-30 11:33:04,516 | INFO  | rule.StartingWall              | getStartingSide          | 48  | Enter to getStartingSide()
2019-04-30 11:33:04,516 | INFO  | rule.Loggertest                | main                     | 247 | End of getStartingSide()
2019-04-30 11:33:04,532 | INFO  | rule.StartingWall              | setCut                   | 88  | Enter to setCut(ArrayDeque<GameTile> cut)
